country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,DataType,Yearly Change Smoothed(moving-averages),World Urban Population,Population Normalized(min-max),Urban Population Normalized(min-max),Median Age Normalized(z-score),Density Normalized(decimal-scaling),Median Age Binned,Yearly Change Binned,Annual_Population_Growth,Migration_Rate,Dependency_Ratio,3_Year_Pop_Avg,is_outlier
Western Sahara,1975,74954,-0.005,-384,-2236.0,16.7,6.57,0,0.595,44566.0,0.0,4079480606,Historical,7036.666667,1540040106,4.53e-05,4.08e-05,-1.235585525,0.0,Young Adults,Low,-0.5032112250376134,-0.0298316300664407,0.2004801920768307,136084.0,True
Western Sahara,1965,50970,0.0924,3642,2500.0,21.1,6.53,0,0.362,18443.0,0.0,3339583597,Historical,2813.0,1188442083,3.07e-05,1.69e-05,-0.796442565,0.0,Young Adults,Low,-0.3369669849363894,0.0490484598783598,0.267427122940431,67599.33333333333,True
Western Sahara,1960,32761,0.0915,2323,1660.0,20.8,6.42,0,0.312,10218.0,0.0,3034949748,Historical,3715.333333,1023987607,1.96e-05,9.36e-06,-0.826384131,0.0,Young Adults,Low,-0.3572493623700216,0.0506700039681328,0.2626262626262626,53535.0,True
Western Sahara,1955,21147,0.0897,1476,1120.0,20.1,6.34,0,0.311,6576.0,0.0,2773019936,Historical,2480.333333,877161793,1.25e-05,6.02e-06,-0.896247783,0.0,Young Adults,Low,-0.354506883184274,0.0529625951671631,0.2515644555694618,34959.333333333336,True
United States Virgin Islands,1960,33135,0.0223,691,-107.0,21.1,5.49,95,0.565,18714.0,0.0,3034949748,Historical,2336.666667,1023987607,1.98e-05,1.71e-05,-0.796442565,0.00095,Young Adults,Low,-0.3403738578225469,-0.0032292138222423,0.267427122940431,49364.66666666666,True
United Arab Emirates,2005,4588225,0.0792,290833,237923.0,29.7,2.4,55,0.821,3767260.0,0.0007,6541907027,Historical,408589.3333,3210427237,0.002798713,0.003449754,0.061882311,0.00055,Young Adults,Low,-0.4633647439037341,0.0518551291621487,0.422475106685633,7467037.666666667,True
United Arab Emirates,2000,3134062,0.0535,143794,99679.0,28.0,2.97,37,0.808,2531398.0,0.0005,6143493823,Historical,408993.3333,2865195724,0.001911582,0.002318051,-0.10778656,0.00037,Young Adults,Low,-0.3169336726075987,0.0318050504425247,0.388888888888889,5424091.666666667,True
United Arab Emirates,1975,548301,0.1851,62757,52098.0,25.5,6.45,7,0.807,442351.0,0.0001,4079480606,Historical,75443.33333,1540040106,0.000334105,0.000405069,-0.357299605,7e-05,Young Adults,Low,-0.4621911135654516,0.0950171529871366,0.3422818791946309,977991.3333333334,True
United Arab Emirates,1970,234514,0.0937,16931,10765.0,22.8,6.77,3,0.801,187928.0,0.0001,3700437046,Historical,57976.66667,1355792207,0.000142675,0.000172089,-0.626773694,3e-05,Young Adults,Low,-0.572289673008074,0.0459034428648183,0.2953367875647669,600774.6666666666,True
United Arab Emirates,1965,149857,0.1015,11488,7576.0,20.2,6.87,2,0.78,116866.0,0.0,3339583597,Historical,30392.0,1188442083,9.1e-05,0.000107016,-0.886267262,2e-05,Young Adults,Low,-0.3609891093921897,0.0505548623020613,0.2531328320802005,310890.6666666667,True
