country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank,DataType,Region
Vietnam,2005,83832661,0.0096,784450.0,-130200.0,26.4,1.92,270,0.27399999999999997,23000555.0,0.0128,6541907027,13,Historical,Asia
Ireland,2017,4753279,0.012199999999999999,57500.0,23604.0,36.8,1.94,69,0.631,2997322.0,0.0006,7547858925,121,Historical,Europe
Sweden,1980,8316338,0.0029,23800.0,17713.0,36.3,1.66,20,0.831,6909767.0,0.0019,4458003514,70,Historical,Europe
Congo,1985,2054312,0.029300000000000003,55276.0,420.0,17.0,5.8,6,0.541,1111137.0,0.0004,4870921740,135,Historical,Africa
Faeroe Islands,2015,48051,0.001,47.0,-12000.0,27.3,4.3,34,0.424,20388.0,0.0,7379797139,212,Historical,Europe
North Korea,1985,18877238,0.015600000000000001,281020.0,0.0,23.5,2.8,157,0.5760000000000001,10881506.0,0.0039000000000000003,4870921740,40,Historical,Asia
United States Virgin Islands,2020,104425,-0.0015,-153.0,-451.0,42.6,2.05,298,0.963,100599.0,0.0,7794798739,199,Historical,North America
India,1980,698952844,0.0232,15169989.0,222247.0,20.2,4.97,235,0.23,160941941.0,0.1568,4458003514,2,Historical,Asia
Montserrat,1985,10792,-0.014499999999999999,-163.0,-480.0,44.8,1.75,108,0.131,1416.0,0.0,4870921740,224,Historical,North America
United States,1970,209513341,0.0096,1955933.0,311211.0,28.4,2.54,23,0.736,154262109.0,0.056600000000000004,3700437046,3,Historical,North America
Papua New Guinea,1955,2086247,0.0083,16820.0,-2465.0,19.5,6.24,5,0.022000000000000002,46008.0,0.0008,2773019936,113,Historical,Oceania
Namibia,1980,1057727,0.0222,21961.0,-8860.0,16.7,6.46,1,0.24,253837.0,0.0002,4458003514,147,Historical,Africa
Anguilla,1980,7285,0.0034999999999999996,25.0,-999.5,20.7,5.55,81,0.92,6702.0,0.0,4458003514,228,Historical,North America
Uzbekistan,1970,12080317,0.0361,392689.0,89235.0,17.5,6.4,28,0.368,4446089.0,0.0033,3700437046,44,Historical,Asia
Nigeria,2005,138865016,0.0258,3316233.0,-34000.0,18.0,6.05,152,0.391,54288918.0,0.0212,6541907027,9,Historical,Africa
Montserrat,1995,9848,-0.0149,-153.0,-480.0,44.8,1.75,98,0.13,1279.0,0.0,5744212979,227,Historical,North America
Gibraltar,1995,28692,-0.0031,-91.0,-10000.0,26.9,3.89,2869,0.988,28560.0,0.0,5744212979,216,Historical,Europe
Swaziland,2016,1113997,0.009000000000000001,9953.0,-8353.0,19.9,3.11,65,0.28300000000000003,315075.0,0.0001,7464022049,159,Historical,Africa
Myanmar,2020,54409800,0.0067,364380.0,-163313.0,29.0,2.17,83,0.314,17068066.0,0.006999999999999999,7794798739,26,Historical,Asia
Uganda,2019,44269594,0.0361,1540558.0,168694.0,16.1,5.62,222,0.252,11135655.0,0.005699999999999999,7713468100,32,Historical,Africa
Reunion,1965,390775,0.030899999999999997,11016.0,-487.0,17.1,6.56,156,0.382,149095.0,0.0001,3339583597,160,Historical,Africa
Switzerland,2019,8591365,0.0077,65754.0,52000.0,42.4,1.53,217,0.74,6357099.0,0.0011,7713468100,100,Historical,Europe
Turkey,1980,43975971,0.0229,939743.0,-52000.0,20.0,4.69,57,0.43799999999999994,19252765.0,0.009899999999999999,4458003514,20,Historical,Asia
Kazakhstan,2020,18776707,0.0121,225280.0,-18000.0,30.7,2.76,7,0.5770000000000001,10828881.0,0.0024,7794798739,64,Historical,Asia
British Virgin Islands,1990,17489,0.0462,707.0,4000.0,45.1,1.74,117,0.35600000000000004,6225.0,0.0,5327231061,220,Historical,North America
Mauritius,1970,826441,0.0187,14631.0,-5831.0,17.8,4.61,407,0.426,351699.0,0.0002,3700437046,145,Historical,Africa
Montenegro,1970,519696,-0.0053,-2824.0,-10755.0,24.1,2.89,39,0.26899999999999996,139552.0,0.0001,3700437046,156,Historical,Europe
Andorra,1975,30705,0.0481,1286.0,-10000.0,34.9,3.05,65,0.873,26791.0,0.0,4079480606,208,Historical,Europe
Maldives,2018,515696,0.038900000000000004,19294.0,11370.0,28.9,2.06,1719,0.34299999999999997,176851.0,0.0001,7631091040,173,Historical,Asia
British Virgin Islands,2016,29355,0.006999999999999999,203.0,4000.0,45.1,1.74,196,0.49,14397.0,0.0,7464022049,220,Historical,North America
Slovenia,1955,1527205,0.0072,10822.0,-4000.0,28.2,2.68,76,0.23800000000000002,363718.0,0.0006,2773019936,124,Historical,Europe
Libya,1975,2645139,0.043899999999999995,102323.0,11733.0,16.1,8.1,2,0.628,1660757.0,0.0006,4079480606,122,Historical,Africa
United States,2000,281710909,0.012199999999999999,3309433.0,1771991.0,35.2,2.0,31,0.7909999999999999,222927913.0,0.045899999999999996,6143493823,3,Historical,North America
Saint Kitts And Nevis,1975,44272,-0.0027,-122.0,-9000.0,27.2,4.1,170,0.35,15509.0,0.0,4079480606,206,Historical,North America
Estonia,2015,1315325,-0.0025,-3355.0,-2103.0,41.6,1.59,31,0.684,899890.0,0.0002,7379797139,154,Historical,Europe
Colombia,1960,16057724,0.0311,456545.0,-46559.0,16.7,6.68,14,0.475,7625171.0,0.0053,3034949748,32,Historical,South America
Wallis And Futuna Islands,1975,9320,0.0103,93.0,-83146.5,41.2,2.06,67,0.0,0.0,0.0,4079480606,223,Historical,Oceania
Bermuda,1980,57573,0.0077,435.0,-2000.0,23.3,4.87,1151,0.99,56992.0,0.0,4458003514,203,Historical,North America
Isle Of Man,1955,52408,-0.0105,-569.0,10000.0,44.2,1.84,92,0.54,28315.0,0.0,2773019936,193,Historical,Europe
Argentina,2019,44780677,0.0095,419527.0,4800.0,30.7,2.32,16,0.927,41489566.0,0.0058,7713468100,31,Historical,South America
India,2016,1324517249,0.011000000000000001,14364846.0,-532687.0,27.1,2.36,445,0.332,439391699.0,0.1775,7464022049,2,Historical,Asia
Dominican Republic,2019,10738958,0.0105,111817.0,-30000.0,26.8,2.43,222,0.838,8998444.0,0.0014000000000000002,7713468100,85,Historical,North America
Reunion,1980,509265,0.009899999999999999,4898.0,-3605.0,19.8,3.12,204,0.535,272356.0,0.0001,4458003514,160,Historical,Africa
Greece,1985,9968238,0.006999999999999999,68247.0,20048.0,33.9,2.06,77,0.706,7034015.0,0.002,4870921740,63,Historical,Europe
Nauru,2017,10573,0.009399999999999999,98.0,-3029.5,28.1,3.42,529,0.963,7488.0,0.0,7547858925,227,Historical,Oceania
Maldives,1985,189537,0.036699999999999997,6253.0,0.0,16.8,7.26,632,0.255,48340.0,0.0,4870921740,179,Historical,Asia
Spain,1985,38733876,0.0054,207136.0,-8658.0,31.6,1.88,78,0.7440000000000001,28821455.0,0.008,4870921740,25,Historical,Europe
Sierra Leone,2017,7488423,0.0218,159589.0,-4200.0,18.9,4.73,104,0.42,3146502.0,0.001,7547858925,103,Historical,Africa
Palau,1970,11811,0.0143,162.0,-171178.0,30.0,3.55,26,0.58,6855.0,0.0,3700437046,217,Historical,Oceania
Ethiopia,1980,35141712,0.015300000000000001,514972.0,-422474.0,17.6,7.18,35,0.10400000000000001,3671221.0,0.0079,4458003514,26,Historical,Africa
Congo,1965,1155392,0.0256,27428.0,0.0,18.5,5.99,3,0.36200000000000004,417746.0,0.0003,3339583597,138,Historical,Africa
Madagascar,2020,27691018,0.0268,721711.0,-1500.0,19.6,4.11,48,0.385,10670252.0,0.0036,7794798739,51,Historical,Africa
Australia,2015,23932502,0.015600000000000001,355565.0,197875.0,37.2,1.89,3,0.852,20396531.0,0.0032,7379797139,53,Historical,Oceania
Tuvalu,1980,7637,0.0473,315.0,-4000.0,33.0,2.79,255,0.314,2401.0,0.0,4458003514,227,Historical,Oceania
Mali,2019,19658031,0.0304,580282.0,-40000.0,16.0,6.26,16,0.43200000000000005,8493036.0,0.0025,7713468100,60,Historical,Africa
Dominican Republic,1975,5144637,0.0271,128983.0,-14165.0,17.0,5.68,106,0.45799999999999996,2355019.0,0.0013,4079480606,85,Historical,North America
United Kingdom,2015,65860146,0.0075,480068.0,260046.0,40.0,1.87,272,0.82,54035311.0,0.0089,7379797139,21,Historical,Europe
Saint Lucia,2019,182790,0.005,901.0,0.0,32.8,1.49,300,0.185,33842.0,0.0,7713468100,189,Historical,North America
Tanzania,1975,15885229,0.0325,469950.0,24040.0,16.8,6.75,18,0.11199999999999999,1781210.0,0.0039000000000000003,4079480606,38,Historical,Africa
Iran,2015,78492215,0.0125,945939.0,-100469.0,29.7,1.91,48,0.742,58217032.0,0.0106,7379797139,18,Historical,Asia
Monaco,2015,37718,0.0116,421.0,-1387.0,48.9,1.26,25314,0.9990000000000001,30691.0,0.0,7379797139,214,Historical,Europe
Tonga,1965,74345,0.0384,2554.0,85.0,16.9,7.3,103,0.195,14500.0,0.0,3339583597,190,Historical,Oceania
Uruguay,2015,3412009,0.0031,10547.0,-6000.0,35.0,2.01,19,0.956,3261533.0,0.0005,7379797139,134,Historical,South America
Japan,2018,127202192,-0.0024,-300533.0,71560.0,46.7,1.4,349,0.9159999999999999,116521525.0,0.0167,7631091040,10,Historical,Asia
Somalia,2017,14589179,0.028399999999999998,403543.0,-40000.0,16.3,6.51,23,0.449,6544404.0,0.0019,7547858925,73,Historical,Africa
Curaçao,1995,143882,-0.0038,-558.0,-2303.0,31.9,2.28,324,0.877,126158.0,0.0,5744212979,188,Historical,North America
Madagascar,2018,26262313,0.0271,691801.0,-1500.0,18.9,4.34,45,0.37200000000000005,9767285.0,0.0034000000000000002,7631091040,51,Historical,Africa
Belgium,1995,10186305,0.0036,35952.0,21389.0,37.6,1.61,336,0.968,9857972.0,0.0018,5744212979,71,Historical,Europe
Martinique,1975,327838,0.0017000000000000001,565.0,-5416.0,19.0,4.08,309,0.7120000000000001,233419.0,0.0001,4079480606,165,Historical,North America
Curaçao,2010,149192,0.0277,3812.0,3073.0,39.6,2.18,336,0.89,132708.0,0.0,6956823603,192,Historical,North America
Swaziland,1995,926841,0.0242,20884.0,-4650.0,16.6,4.78,54,0.231,214125.0,0.0002,5744212979,154,Historical,Africa
Macao,1985,283503,0.0355,9086.0,5029.0,27.6,2.06,9450,0.9940000000000001,281813.0,0.0001,4870921740,173,Historical,Asia
